Exercise,Difficulty Level,Target Muscle Group,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment
Stability Ball Dead Bug,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball
Bodyweight Glute Bridge,Beginner,Glutes,Gluteus Maximus,,,Bodyweight
Bodyweight Bird Dog,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight
Stability Ball Russian Twist,Beginner,Abdominals,Obliques,Rectus Abdominis,,Stability Ball
Stability Ball Feet Elevated Crunch,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball
Ring Hanging Knee Raise,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Rectus Femoris,Gymnastic Rings
Parallette Mountain Climber,Novice,Abdominals,Rectus Abdominis,,,Parallette Bars
Parallette Push Up,Novice,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars
Bodyweight Knee Hover Bird Dog,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight
Stability Ball V Up Pass,Novice,Abdominals,Rectus Abdominis,,,Stability Ball
Bodyweight Dead Bug,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight
Bodyweight Alternating Heel Taps,Beginner,Abdominals,Obliques,Rectus Abdominis,,Bodyweight
Bodyweight Flutter Kicks,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight
Bodyweight Kneeling Forearm Plank,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight
Bodyweight Seated Ab Circles,Novice,Abdominals,Rectus Abdominis,,,Bodyweight
Ring Hanging Oblique Knee Raise,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Gymnastic Rings
Stability Ball Stir The Pot,Novice,Abdominals,Rectus Abdominis,,,Stability Ball
Bodyweight Alternating Side Kick Through,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight
Ring L Sit Hang Flutter Kicks,Intermediate,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Slam Ball Russian Twist,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Slam Ball
Dumbbell Otis Up,Novice,Abdominals,Rectus Abdominis,,,Dumbbell
Single Arm Dumbbell Side Plank Reach Through,Advanced,Abdominals,Obliques,Rectus Abdominis,,Dumbbell
Ab Wheel Kneeling Rollout,Novice,Abdominals,Rectus Abdominis,,,Ab Wheel
Cable Seated Crunch,Novice,Abdominals,Rectus Abdominis,,,Cable
Cable Kneeling Crunch,Novice,Abdominals,Rectus Abdominis,,,Cable
Medicine Ball V Up,Novice,Abdominals,Rectus Abdominis,,,Medicine Ball
Suspension Knee Tuck,Novice,Abdominals,Rectus Abdominis,,,Suspension Trainer
Suspension Lateral Knee Tuck,Intermediate,Abdominals,Rectus Abdominis,,,Suspension Trainer
Bodyweight Push Up to Alternating Kick Through,Intermediate,Chest,Pectoralis Major,Rectus Abdominis,,Bodyweight
Single Arm Dumbbell Turkish Get Up,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Dumbbell
Bodyweight Bear Crawl,Novice,Abdominals,Rectus Abdominis,,,Bodyweight
Stability Ball Knee Tuck,Novice,Abdominals,Rectus Abdominis,,,Stability Ball
Ring Hanging Leg Raise,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Parallette L Sit,Advanced,Abdominals,Rectus Abdominis,,,Parallette Bars
Bodyweight Standing Walkout Plank,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight
Bodyweight Standing Walkout Push Up,Intermediate,Chest,Pectoralis Major,Rectus Abdominis,,Bodyweight
Barbell Climb,Expert,Abdominals,Rectus Abdominis,,,Barbell
Bodyweight Ipsilateral Bird Dog,Expert,Abdominals,Rectus Abdominis,,,Bodyweight
Bodyweight Copenhagen Plank Knee to Elbow,Advanced,Adductors,Adductor Magnus,,,Bodyweight
Ring Dead Hang,Beginner,Back,Latissimus Dorsi,,,Gymnastic Rings
Suspension Archer Row,Novice,Shoulders,Posterior Deltoids,,,Suspension Trainer
Ring Eccentric Pull Up,Novice,Back,Latissimus Dorsi,,,Gymnastic Rings
Ring Pull Up,Intermediate,Back,Latissimus Dorsi,,,Gymnastic Rings
Ring Eccentric Chin Up,Novice,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings
Miniband Fire Hydrant,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Miniband
Medicine Ball Russian Twist,Novice,Abdominals,Obliques,Rectus Abdominis,,Medicine Ball
Bodyweight Side Plank,Novice,Abdominals,Obliques,Rectus Abdominis,,Bodyweight
Cable Reverse Crunch,Intermediate,Abdominals,Rectus Abdominis,,,Cable
Cable Rope Half Kneeling High to Low Chop,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable
Cable Rope Half Kneeling Low to High Chop,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable
Slider Double Kettlebell Bottoms Up Overhead Lateral Lunge,Advanced,Adductors,Adductor Magnus,,,Sliders
Cable Rope Staggered Stance High to Low Chop,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable
Cable Rope Staggered Stance Low to High Chop,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable
Single Arm Dumbbell Windmill,Intermediate,Abdominals,Obliques,,,Dumbbell
Slider Double Kettlebell Bottoms Up Front Rack Lateral Lunge,Intermediate,Adductors,Adductor Magnus,,,Sliders
Slider Double Kettlebell Front Rack Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders
Bodyweight Feet On Wall Mountain Climber,Advanced,Abdominals,Rectus Abdominis,,,Bodyweight
Slider Double Kettlebell Suitcase Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders
Bodyweight Hollow Body Hold,Novice,Abdominals,Rectus Abdominis,,,Bodyweight
Dumbbell Crush Grip Hollow Body Hold,Intermediate,Abdominals,Rectus Abdominis,,,Dumbbell
Bar Inverted Hanging Crunch,Expert,Abdominals,Rectus Abdominis,,,Pull Up Bar
Bodyweight Inverted Hanging Oblique Crunch,Expert,Abdominals,Obliques,,,Bodyweight
Slider Double Kettlebell Front Rack Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders
Bodyweight Supine Alternating Single Leg Raise,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight
Bodyweight Supine Leg Raise,Novice,Abdominals,Rectus Abdominis,,,Bodyweight
Miniband Bicycle Crunch,Novice,Abdominals,Obliques,Rectus Abdominis,,Miniband
Bodyweight Side Plank Reach Through,Novice,Abdominals,Obliques,Rectus Abdominis,,Bodyweight
Bodyweight Sit Up,Novice,Abdominals,Rectus Abdominis,,,Bodyweight
Bodyweight Butterfly Sit Up,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight
Slider Mountain Climber,Novice,Abdominals,Rectus Abdominis,,,Sliders
Slider Pike,Advanced,Abdominals,Rectus Abdominis,,,Sliders
Stability Ball Pike,Advanced,Abdominals,Rectus Abdominis,,,Stability Ball
Slider Wide Mountain Climber,Intermediate,Abdominals,Rectus Abdominis,,,Sliders
Stability Ball Crunch,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball
Stability Ball Feet Elevated Oblique Crunch,Beginner,Abdominals,Obliques,,,Stability Ball
Stability Ball Kneeling Rollout,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball
Stability Ball Single Leg Knee Tuck,Advanced,Abdominals,Rectus Abdominis,,,Stability Ball
Stability Ball Single Leg Pike,Expert,Abdominals,Rectus Abdominis,,,Stability Ball
Parallette Kneeling Push Up,Beginner,Chest,Pectoralis Major,,,Parallette Bars
Slider Double Kettlebell Overhead Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders
Double Dumbbell Romanian Deadlift,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Side Plank,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Dumbbell
Bodyweight Single Leg Glute Bridge,Novice,Glutes,Gluteus Maximus,,,Bodyweight
Dumbbell Glute Bridge,Beginner,Glutes,Gluteus Maximus,,,Dumbbell
Bodyweight Glute Bridge Isometric with Alternating Single Leg Extension,Beginner,Glutes,Gluteus Maximus,,,Bodyweight
